callsign,icao,name,prefix,fir
ADR,ADR,Adria Radar,,ADR
ADR_W,ADR-W,Adria Radar (West),ADR_W,ADR-W
ADR-W,ADR-W,Adria Radar (West),ADR_W,ADR-W
ADR_E,ADR-E,Adria Radar (East),ADR_E,ADR-E
ADR-E,ADR-E,Adria Radar (East),ADR_E,ADR-E
AGGG,AGGG,Honiara,,AGGG
ANAU,ANAU,Nauru,,ANAU
AYPM,AYPM,Port Moresby,,AYPM
BGGL,BGGL,Nuuk,,BGGL
BIRD,BIRD,Reykjavik,,BIRD
BIRD_E,BIRD-E,Reykjavik ACC (East) - Reykjavik,BIRD_E,BIRD-E
BIRD-E,BIRD-E,Reykjavik ACC (East) - Reykjavik,BIRD_E,BIRD-E
BIRD_N,BIRD-N,Reykjavik ACC (North) - Reykjavik,BIRD_N,BIRD-N
BIRD-N,BIRD-N,Reykjavik ACC (North) - Reykjavik,BIRD_N,BIRD-N
BIRD_S,BIRD-S,Reykjavik ACC (South) - Reykjavik,BIRD_S,BIRD-S
BIRD-S,BIRD-S,Reykjavik ACC (South) - Reykjavik,BIRD_S,BIRD-S
BIRD_W,BIRD-W,Reykjavik ACC (West) - Reykjavik,BIRD_W,BIRD-W
BIRD-W,BIRD-W,Reykjavik ACC (West) - Reykjavik,BIRD_W,BIRD-W
BSW,BSW,Black Sea West Radar,,BSW
EDM,CZEG,Edmonton,EDM,CZEG
CZEG,CZEG,Edmonton,EDM,CZEG
ZEG,CZEG,Edmonton,ZEG,CZEG
MCN,CZQM,Moncton,MCN,CZQM
CZQM,CZQM,Moncton,MCN,CZQM
CZZV,CZZV,Sept-Iles (CZUL SFC-280 / CZQM 290-ABV),,CZZV
GAND,CZQX,Gander,GAND,CZQX
CZQX,CZQX,Gander,GAND,CZQX
YQX,CZQX,Gander,YQX,CZQX
GAN,CZQO,Gander Oceanic,GAN,CZQO
CZQO,CZQO,Gander Oceanic,GAN,CZQO
CZQO-GOTA,CZQO-GOTA,Gander Oceanic Transition Area (CZQO SFC-280 / CZQX 290-ABV),,CZQO-GOTA
MTL,CZUL,Montreal,MTL,CZUL
CZUL,CZUL,Montreal,MTL,CZUL
VAN,CZVR,Vancouver,VAN,CZVR
CZVR,CZVR,Vancouver,VAN,CZVR
CYVR,CZVR,Vancouver,CYVR,CZVR
ZVR,CZVR,Vancouver,ZVR,CZVR
WPG,CZWG,Winnipeg,WPG,CZWG
CZWG,CZWG,Winnipeg,WPG,CZWG
ZWG,CZWG,Winnipeg,ZWG,CZWG
TOR,CZYZ,Toronto,TOR,CZYZ
CZYZ,CZYZ,Toronto,TOR,CZYZ
DAAA,DAAA,Algiers,,DAAA
DGAC,DGAC,Accra,,DGAC
DGAO,DGAO,Accra Oceanic,,DGAO
DIII,DIII,Abidjan,,DIII
DNKK,DNKK,Kano,,DNKK
DRRR,DRRR,Niamey,,DRRR
DTTC,DTTC,Tunis,,DTTC
EBBU,EBBU,Brussels,,EBBU
EBUR,EBUR,Brussels Upper,,EBBU
EDGG_BAD,EDGG-BAD,Langen Radar (Baden) - Langen,EDGG_BAD,EDGG-BAD
EDGG-BAD,EDGG-BAD,Langen Radar (Baden) - Langen,EDGG_BAD,EDGG-BAD
EDGG_GIN,EDGG-GIN,Langen Radar (Giessen) - Langen,EDGG_GIN,EDGG-GIN
EDGG-GIN,EDGG-GIN,Langen Radar (Giessen) - Langen,EDGG_GIN,EDGG-GIN
EDGG_DKB,EDGG-DKB,Langen Radar (Dinkelsbuehl) - Langen,EDGG_DKB,EDGG-DKB
EDGG-DKB,EDGG-DKB,Langen Radar (Dinkelsbuehl) - Langen,EDGG_DKB,EDGG-DKB
EDGG_RUD,EDGG-RUD,Langen Radar (Ruedesheim) - Langen,EDGG_RUD,EDGG-RUD
EDGG-RUD,EDGG-RUD,Langen Radar (Ruedesheim) - Langen,EDGG_RUD,EDGG-RUD
