Ref#,GroupNum
UM0,0
UM1,0
UM2,0
UM3,0
UM4,0
UM5,0
UM235,0
UM211,0
UM218,0
UM237,0
UM6,1
UM7,1
UM8,1
UM9,1
UM10,1
UM11,1
UM12,1
UM19,1
UM20,1
UM21,1
UM22,1
UM23,1
UM24,1
UM25,1
UM26,1
UM27,1
UM28,1
UM29,1
UM192,1
UM209,1
UM30,1
UM31,1
UM32,1
UM34,1
UM35,1
UM219,1
UM220,1
UM36,1
UM37,1
UM38,1
UM39,1
UM171,1
UM172,1
UM173,1
UM174,1
UM46,4
UM47,4
UM48,4
UM49,4
UM50,4
UM51,4
UM52,4
UM53,4
UM54,4
UM55,4
UM56,4
UM57,4
UM58,4
UM59,4
UM60,4
UM61,4
UM62,4
UM63,4
UM64,9
UM65,9
UM66,9
UM67,9
UM68,9
UM69,9
UM70,9
UM71,9
UM72,9
UM73,2
UM74,2
UM75,2
UM76,2
UM77,2
UM78,2
UM79,2
UM80,2
UM81,2
UM236,2
UM82,2
UM83,2
UM84,2
UM85,2
UM86,2
UM87,2
UM88,2
UM89,2
UM90,2
UM91,2
UM92,2
UM93,2
UM94,2
UM95,2
UM215,2
UM190,2
UM96,2
UM97,2
UM221,2
UM98,2
UM99,2
UM100,11
UM101,11
UM102,11
UM103,11
UM104,11
UM105,11
UM106,11
UM188,11
UM107,11
UM108,11
UM109,11
UM110,11
UM111,11
UM112,11
UM113,11
UM114,11
UM115,11
UM116,11
UM189,11
UM222,11
UM223,11
UM117,6
UM118,6
UM119,6
UM238,6
UM120,6
UM121,6
UM122,6
UM123,6
UM124,6
UM239,6
UM125,6
UM240,6
UM126,6
UM241,6
UM179,6
UM242,6
UM243,6
UM127,12
UM128,12
UM129,12
UM200,12
UM180,12
UM130,12
UM181,12
UM184,12
UM228,12
UM131,12
UM132,12
UM133,12
UM134,12
UM135,12
UM136,12
UM137,12
UM138,12
UM139,12
UM140,12
UM141,12
UM142,12
UM143,12
UM144,12
UM145,12
UM146,12
UM182,12
UM147,12
UM216,12
UM217,12
UM229,12
UM231,12
UM232,12
UM148,10
UM149,10
UM150,10
UM151,10
UM152,10
UM153,10
UM213,10
UM154,10
UM244,10
UM191,10
UM155,10
UM156,10
UM210,10
UM193,10
UM157,10
UM158,10
UM212,10
UM214,10
UM224,10
UM225,10
UM226,10
UM159,13
UM160,13
UM161,13
UM162,13
UM234,13
UM163,13
UM227,13
UM233,13
UM164,5
UM230,5
UM165,5
UM166,5
UM167,5
UM168,5
UM176,5
UM177,5
UM169q,5
UM169r,5
UM169ak,5
UM169s,5
UM169x,5
UM169ab,5
UM169ac,5
UM169ad,5
UM169ae,5
UM169af,5
UM169al,5
UM169p,5
UM169z,5
UM169ai,5
UM169b,5
UM169c,5
UM169d,5
UM169e,5
UM169f,5
UM169t,5
UM169v,5
UM169h,5
UM169aa,5
UM169k,5
UM169l,5
UM169aj,5
UM169m,5
UM169n,5
UM169o,5
UM169ag,5
UM169y,5
UM169av,5
UM169j,5
UM169w,5
UM169au,5
UM169u,5
UM169ah,5
UM169am,5
UM169an,5
UM169ao,5
UM169at,5
UM169aw,5
UM169ax,5
UM169ap,5
UM169aq,5
UM169ar,5
UM169as,5
