Ref#,MessageElement,Resp
UM0,UNABLE ,N or NE
UM1,STANDBY,N or NE
UM2,REQUEST DEFERRED ,N or NE
UM3,ROGER ,N or NE
UM4,AFFIRM ,N or NE
UM5,NEGATIVE ,N or NE
UM235,ROGER 7500 ,N
UM211,REQUEST FORWARDED,N
UM218,REQUEST ALREADY RECEIVED,N
UM237,REQUEST AGAIN WITH NEXT UNIT ,N
UM6,EXPECT [level] ,R
UM7,EXPECT CLIMB AT [time] ,R
UM8,EXPECT CLIMB AT [position],R
UM9,EXPECT DESCENT AT [time] ,R
UM10,EXPECT DESCENT AT [position] ,R
UM11,EXPECT CRUISE CLIMB AT [time] ,R
UM12,EXPECT CRUISE CLIMB AT [position],R
UM19,MAINTAIN [level] ,W/U
UM20,CLIMB TO [level],W/U
UM21,AT [time] CLIMB TO [level],W/U
UM22,AT [position] CLIMB TO [level],W/U
UM23,DESCEND TO [level],W/U
UM24,AT [time] DESCEND TO [level],W/U
UM25,AT [position] DESCEND TO [level],W/U
UM26,CLIMB TO REACH [level] BY [time],W/U
UM27,CLIMB TO REACH [level] BY [position],W/U
UM28,DESCEND TO REACH [level] BY [time] ,W/U
UM29,DESCEND TO REACH [level] BY [position],W/U
UM192,REACH [level] BY [time] ,W/U
UM209,REACH [level] BY [position],W/U
UM30,MAINTAIN BLOCK [level] TO [level] ,W/U
UM31,CLIMB TO AND MAINTAIN BLOCK [level] TO [level] ,W/U
UM32,DESCEND TO AND MAINTAIN BLOCK [level] TO [level] ,W/U
UM34,CRUISE CLIMB TO [level] ,W/U
UM35,CRUISE CLIMB ABOVE [level],W/U
UM219,STOP CLIMB AT [level] ,W/U
UM220,STOP DESCENT AT [level],W/U
UM36,EXPEDITE CLIMB TO [level],W/U
UM37,EXPEDITE DESCENT TO[level] ,W/U
UM38,IMMEDIATELY CLIMB TO [level] ,W/U
UM39,IMMEDIATELY DESCEND TO [level] ,W/U
UM171,CLIMB AT [vertical rate] MINIMUM  ,W/U
UM172,CLIMB AT [vertical rate] MAXIMUM  ,W/U
UM173,DESCEND AT [vertical rate] MINIMUM ,W/U
UM174,DESCEND AT [vertical rate] MAXIMUM,W/U
UM46,CROSS [position] AT [level],W/U
UM47,CROSS [position] AT OR ABOVE [level] ,W/U
UM48,CROSS [position] AT OR BELOW [level],W/U
UM49,CROSS [position] AT AND MAINTAIN [level],W/U
UM50,CROSS [position] BETWEEN [level] AND [level] ,W/U
UM51,CROSS [position] AT [time],W/U
UM52,CROSS [position] AT OR BEFORE [time] ,W/U
UM53,CROSS [position] AT OR AFTER [time] ,W/U
UM54,CROSS [position] BETWEEN [time] AND [time] ,W/U
UM55,CROSS [position] AT [speed] ,W/U
UM56,CROSS [position] AT OR LESS THAN [speed] ,W/U
UM57,CROSS [position] AT OR GREATER THAN [speed] ,W/U
UM58,CROSS [position] AT [time] AT [level] ,W/U
UM59,CROSS [position] AT OR BEFORE [time] AT [level],W/U
UM60,CROSS [position] AT OR AFTER [time] AT [level] ,W/U
UM61,CROSS [position] AT AND MAINTAIN [level] AT [speed] ,W/U
UM62,AT [time] CROSS [position] AT AND MAINTAIN [level] ,W/U
UM63,AT [time] CROSS [position] AT AND MAINTAIN [level] AT [speed] ,W/U
UM64,OFFSET [specified distance] [direction] OF ROUTE  ,W/U
UM65,AT [position] OFFSET [specified distance] [direction] OF ROUTE ,W/U
UM66,AT [time] OFFSET [specified distance] [direction] OF ROUTE ,W/U
