N028.43.23.000 W017.47.12.000 N028.35.18.000 W017.47.06.000 COLOR_TWR-CTR
N028.35.18.000 W017.47.06.000 N028.35.18.000 W017.47.06.000 COLOR_TWR-CTR
N028.35.18.000 W017.47.06.000 N028.31.41.000 W017.46.06.000 COLOR_TWR-CTR
N028.31.41.000 W017.46.06.000 N028.31.41.000 W017.46.06.000 COLOR_TWR-CTR
N028.31.41.000 W017.46.06.000 N028.30.38.000 W017.46.14.000 COLOR_TWR-CTR
N028.30.38.000 W017.46.14.000 N028.30.38.000 W017.46.14.000 COLOR_TWR-CTR
N028.30.38.000 W017.46.14.000 N028.30.35.283 W017.45.20.000 COLOR_TWR-CTR
N028.30.35.283 W017.45.20.000 N028.30.35.283 W017.45.20.000 COLOR_TWR-CTR
N028.30.35.283 W017.45.20.000 N028.30.40.445 W017.44.05.198 COLOR_TWR-CTR
N028.30.40.445 W017.44.05.198 N028.30.40.445 W017.44.05.198 COLOR_TWR-CTR
N028.30.40.445 W017.44.05.198 N028.31.02.000 W017.42.33.000 COLOR_TWR-CTR
N028.31.02.000 W017.42.33.000 N028.31.02.000 W017.42.33.000 COLOR_TWR-CTR
N028.31.02.000 W017.42.33.000 N028.31.57.000 W017.42.56.000 COLOR_TWR-CTR
N028.31.57.000 W017.42.56.000 N028.31.57.000 W017.42.56.000 COLOR_TWR-CTR
N028.31.57.000 W017.42.56.000 N028.32.14.419 W017.42.13.929 COLOR_TWR-CTR
N028.32.14.419 W017.42.13.929 N028.32.14.419 W017.42.13.929 COLOR_TWR-CTR
N028.32.14.419 W017.42.13.929 N028.32.43.891 W017.41.19.092 COLOR_TWR-CTR
N028.32.43.891 W017.41.19.092 N028.32.43.891 W017.41.19.092 COLOR_TWR-CTR
N028.32.43.891 W017.41.19.092 N028.33.20.528 W017.40.30.187 COLOR_TWR-CTR
N028.33.20.528 W017.40.30.187 N028.33.20.528 W017.40.30.187 COLOR_TWR-CTR
N028.33.20.528 W017.40.30.187 N028.34.03.428 W017.39.48.419 COLOR_TWR-CTR
N028.34.03.428 W017.39.48.419 N028.34.03.428 W017.39.48.419 COLOR_TWR-CTR
N028.34.03.428 W017.39.48.419 N028.34.51.538 W017.39.14.815 COLOR_TWR-CTR
N028.34.51.538 W017.39.14.815 N028.34.51.538 W017.39.14.815 COLOR_TWR-CTR
N028.34.51.538 W017.39.14.815 N028.35.43.674 W017.38.50.203 COLOR_TWR-CTR
N028.35.43.674 W017.38.50.203 N028.35.43.674 W017.38.50.203 COLOR_TWR-CTR
N028.35.43.674 W017.38.50.203 N028.36.38.555 W017.38.35.189 COLOR_TWR-CTR
N028.36.38.555 W017.38.35.189 N028.36.38.555 W017.38.35.189 COLOR_TWR-CTR
N028.36.38.555 W017.38.35.189 N028.37.34.829 W017.38.30.143 COLOR_TWR-CTR
N028.37.34.829 W017.38.30.143 N028.37.34.829 W017.38.30.143 COLOR_TWR-CTR
N028.37.34.829 W017.38.30.143 N028.38.31.112 W017.38.35.189 COLOR_TWR-CTR
N028.38.31.112 W017.38.35.189 N028.38.31.112 W017.38.35.189 COLOR_TWR-CTR
N028.38.31.112 W017.38.35.189 N028.39.26.017 W017.38.50.203 COLOR_TWR-CTR
N028.39.26.017 W017.38.50.203 N028.39.26.017 W017.38.50.203 COLOR_TWR-CTR
N028.39.26.017 W017.38.50.203 N028.40.18.191 W017.39.14.815 COLOR_TWR-CTR
N028.40.18.191 W017.39.14.815 N028.40.18.191 W017.39.14.815 COLOR_TWR-CTR
N028.40.18.191 W017.39.14.815 N028.41.06.348 W017.39.48.419 COLOR_TWR-CTR
N028.41.06.348 W017.39.48.419 N028.41.06.348 W017.39.48.419 COLOR_TWR-CTR
N028.41.06.348 W017.39.48.419 N028.41.49.302 W017.40.30.187 COLOR_TWR-CTR
N028.41.49.302 W017.40.30.187 N028.41.49.302 W017.40.30.187 COLOR_TWR-CTR
N028.41.49.302 W017.40.30.187 N028.42.55.000 W017.39.43.000 COLOR_TWR-CTR
N028.42.55.000 W017.39.43.000 N028.42.55.000 W017.39.43.000 COLOR_TWR-CTR
N028.42.55.000 W017.39.43.000 N028.44.11.000 W017.42.31.000 COLOR_TWR-CTR
N028.44.11.000 W017.42.31.000 N028.44.11.000 W017.42.31.000 COLOR_TWR-CTR
N028.44.11.000 W017.42.31.000 N028.43.13.000 W017.42.57.000 COLOR_TWR-CTR
N028.43.13.000 W017.42.57.000 N028.43.13.000 W017.42.57.000 COLOR_TWR-CTR
N028.43.13.000 W017.42.57.000 N028.43.17.134 W017.43.13.347 COLOR_TWR-CTR
N028.43.17.134 W017.43.13.347 N028.43.17.134 W017.43.13.347 COLOR_TWR-CTR
N028.43.17.134 W017.43.13.347 N028.43.30.324 W017.44.15.884 COLOR_TWR-CTR
N028.43.30.324 W017.44.15.884 N028.43.30.324 W017.44.15.884 COLOR_TWR-CTR
N028.43.30.324 W017.44.15.884 N028.43.34.758 W017.45.20.000 COLOR_TWR-CTR
N028.43.34.758 W017.45.20.000 N028.43.34.758 W017.45.20.000 COLOR_TWR-CTR
N028.43.34.758 W017.45.20.000 N028.43.30.324 W017.46.24.116 COLOR_TWR-CTR
N028.43.30.324 W017.46.24.116 N028.43.30.324 W017.46.24.116 COLOR_TWR-CTR
N028.43.30.324 W017.46.24.116 N028.43.23.000 W017.47.12.000 COLOR_TWR-CTR
